()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||<黑屏2><BIN>569</BIN>:......
NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||:.............
NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||:...................
NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||:...너야?+"루니샤"?
M4A1Mod(0)<Speaker>？？？？</Speaker>||:......
M4A1Mod(2)<Speaker>M4A1</Speaker>||:반가워요, 처음 만나네요.+저는 "M4A1"이에요... 저를 루니샤라고 부르기 싫으시다면, M4라고 부르면 돼요.
M4A1Mod(2);NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||:이해가 안 돼... 도저히 모르겠어...+너는 왜 이런 무의미한 짓을 하는 거야?+니토, 이성질체, 저 재수 없는 가짜에게.+심지어 나에게도.
M4A1Mod(2);NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||:너에게 있어, 우리의 존재는 아무 의미도 없잖아.+너는 얼마든지 진정한 "루니샤"가 될 수 있었어. 빌의 유일한 누나가 될 수 있었어.+너는... 신세계의 여신이 될 수 있었어.
M4A1Mod(2);NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||:왜 그걸 포기했어? 왜 떠난 거야? 왜... 그를 배신한 거야?
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:저는 아무도 배신하지 않았어요.+빌이 우리를 배신한 거예요.+그는 모든 선량함과, 모든 정의와, 모든 이상을 배신했어요.+그리고... 여러분을 배신했어요.
M4A1Mod(2);NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||:빌은 날 배신하지 않았어... 빌은 나를 사랑해...
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:그게 정말인가요?
M4A1Mod(2);NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||:......
M4A1Mod(2);NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||:...아니.+그가 사랑하는 건 나지만, 내가 아니야.+그가 사랑하는 건 너지만, 네가 아니야.
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:저는 단지 당신보다 운이 좋았을 뿐이지, 그것 말고 특별한 곳이라곤 아무것도 없어요.+당신은 누구의 대체품이 될 필요가 없어요.+당신은 그냥 당신이에요.+ 당신은 진정한 사랑을 받을 자격이 있고, 마땅히 사랑받아야 할 존재에요.
M4A1Mod(2);NPC-Lunasia(6)<Speaker>루니샤?</Speaker>||:내가...
M4A1Mod(2);NPC-Lunasia(6)<Speaker>?</Speaker>||:이 이름을 잃으면 내게 무엇이 남는 거야?
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:아직 자아가 남아있죠.+이 순간부터 당신은 진정으로 탄생한 것이고, 살아있는 것이에요.
M4A1Mod(2)<Speaker>M4A1</Speaker>||:축하드려요.+...당신이 진정으로 갈 곳을 찾았네요.
NPC-Lunasia(6)<Speaker>?</Speaker>||:......+...고마워.+고마워, M4A1.
()||<黑点1>:
