()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>775</BIN><CGDelay>0.5</CGDelay>:
()<Speaker></Speaker>||<CGDelay>0.5</CGDelay><narrator><SE1>AVG_keyboardtype_sci</SE1>:■기록■ AS76493827612548, 디코딩...
()||<黑屏1>:
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2>:
()||<黑屏1>:
()<Speaker></Speaker>||<SE1>AVG_2023Slow_Heart_Monitor1</SE1><SE1>Heartbeat</SE1><睁眼><CGDelay>0.5</CGDelay><BIN>477</BIN><BGM>BGM_ev2408_DanceWithDeath</BGM>:
()<Speaker>몰리도</Speaker>||:......
()<Speaker></Speaker>||:수술대 위에 누운 몰리도는, 겨우 붙어있는 숨도 죽여 아무 소리도 내지 않았다.
()<Speaker></Speaker>||:꿀꺽...+몰리도는 무의식적으로 침을 삼켰다.+그녀에게 있어, 이것은 터무니없는 도박이었다.+터무니없지만, 절대 질 리가 없는 도박.
()<Speaker>몰리도</Speaker>||:...루니샤.
NPC-William(0)<Speaker>윌리엄?</Speaker>||:......
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:예리한 수술칼의 끝이 몰리도의 뺨 위에서 멈췄다. 베인 상처에서는 계속 피가 새어나왔지만, 칼에는 단 한 방울도 묻지 않았다.
NPC-William(0)<Speaker>윌리엄?</Speaker>||:...그 이름, 어디서 들었어.
()<Speaker>몰리도</Speaker>||:본인에게서요, 아버님.
()<Speaker></Speaker>||:몰리도는 마음속 두려움을 억눌러, 최대한 목소리가 떨리지 않도록 했다.
()<Speaker>몰리도</Speaker>||<CGDelay>0.5</CGDelay>:제게... 다시 한번 기회를 주세요.
()||<黑屏1>:
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2>:
()||<黑屏1>:
()<Speaker></Speaker>||<黑屏2><CGDelay>0.5</CGDelay><BIN>462</BIN>:
()<Speaker>바스케어</Speaker>||:몰리도... 너 뭐하는 거야?
NPC-Morridow(8)<Speaker>몰리도</Speaker><Position>0,90</Position>||:나는 내가 될 거야.+그저 나로서 있을 거야.
NPC-Morridow(8)<Speaker>바스케어</Speaker><同时置暗>||:넌 마흐리안을 죽였지. 하지만 그래봤자 그녀는 고치에서 다시 태어날 뿐이야.
NPC-Morridow(8)<Speaker>몰리도</Speaker><Position>0,90</Position>||:이젠 아니야, 바스케어.+마흐리안은 물론, 너도...+모두 사라질 거야.+오직 나만이 유일무이한 완전면역체가 될 거야.
NPC-Morridow(8)<Speaker>바스케어</Speaker><同时置暗>||:...나를 죽여봤자 너의 의식 속에서 다시 태어날 거야. 마흐리안처럼, 이미 셀 수도 없이 그래왔던 것처럼.+이런다고 무슨 의미가 있어?
NPC-Morridow(8)<Speaker>몰리도</Speaker><Position>0,90</Position>||:난 신과 거래를 했어.
NPC-Morridow(8)<Speaker>바스케어</Speaker><同时置暗>||:......
NPC-Morridow(8)<Speaker>몰리도</Speaker><Position>0,90</Position>||:그녀는 내게 조물주를 속이는 법을 가르쳐줬어.
NPC-Morridow(8)<Speaker>바스케어</Speaker><同时置暗>||:마스터와 아버님을 속이겠다고?
NPC-Morridow(8)<Speaker>몰리도</Speaker><Position>0,90</Position>||:그래. 나를 완전면역체의 대체품이라고 생각하도록 만들 거야.+그러려면 너와 마흐리안을 소화하기만 하면 돼.
NPC-Morridow(8)<Speaker>바스케어</Speaker><同时置暗>||:대체 왜...
NPC-Morridow(8)<Speaker>몰리도</Speaker><Position>0,90</Position>||:나와 의식을 공유하는 너희가...+나의 비밀을 누설하면 안 되니까.
NPC-Morridow(8)<Speaker>바스케어</Speaker><同时置暗>||:여기에 "고치"는 아직 잔뜩 있어.
NPC-Morridow(8)<Speaker>몰리도</Speaker><Position>0,90</Position>||:알아. 하지만 내가 가장 특별한 하나가 될 거야.+온전한 자아를 가진 하나.
NPC-Morridow(8)<Speaker></Speaker>||<CGDelay>0.5</CGDelay>:
NPC-Morridow(8)<Speaker>몰리도</Speaker><Position>0,90</Position>||<CGDelay>0.5</CGDelay>:유일하게 자유로운 하나.
()||<黑屏1>:
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2>:
()||<黑屏1>:
()<Speaker></Speaker>||<SE1>AVG_2023Slow_Heart_Monitor1</SE1><黑屏2><CGDelay>0.7</CGDelay><BIN>639</BIN>:
()<Speaker></Speaker>||:수술이 끝나자, 몰리도는 몸이 가벼우면서도 허전한 느낌이 들었다. 마치, 속박에서 벗어나 날갯짓해 꽃밭으로 날아가는 나비와 같은 느낌.
()<Speaker></Speaker>||<SE1>AVG_Creep</SE1>:몰리도는 그 니토에게 거의 끌려가듯 방에서 나갔다.+힘없이 떨군 고개는 머리카락으로 가려졌다.+아무도, 그녀의 미소를 보지 못했다.
()||<黑屏1>:
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><CGDelay>0.5</CGDelay>:
NytoIsomer(12)<Speaker>M4A1</Speaker>||<CGDelay>0.5</CGDelay>:...그게 당신의 소망이라면, 이뤄드리죠.
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:몰리도는 눈을 감고, 연민으로 가득한 "M4A1"의 얼굴을 미소로 마주보았다.
()<Speaker></Speaker>||<CGDelay>0.5</CGDelay>:하나로 엮인 세 고치에서, 한 마리의 나비가 날아올랐다.
()||<黑点1>:
