()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BGM>BGM_AuguriesofInnocence</BGM><BIN>788</BIN><黑屏2><CGDelay>0.5</CGDelay>:
()<Speaker></Speaker>||<narrator>:■檔案■ PACC78493721872567解碼中……
()||<黑屏1><CGDelay>0.5</CGDelay>:
()<Speaker></Speaker>||<黑屏2><BIN>276</BIN>:嗶。+一段來自貝斯蘭第六小學的監視錄影開始播放。
()<Speaker>老師</Speaker>||:……紗那，已經六點三十五分了，我記得通知你媽媽來開會的時間是六點整？
NPC-Sana(1)<Speaker>紗那</Speaker><Position>0,210</Position>||:對不起……老師，我媽媽的工作很忙……
NPC-Sana(1)<Speaker>老師</Speaker><Position>0,210</Position><同时置暗>||:你媽媽不是在第一中學做老師？我也有朋友在那邊，現在早就下班了啊。
NPC-Sana(1)<Speaker>紗那</Speaker><Position>0,210</Position>||:……
()<Speaker></Speaker>||<SE1>AVG_Creep</SE1>:紗那乖巧地坐在椅子上盯著自己腳尖不說話，老師嘆了口氣，放下了撥打無數次也沒人接聽的通訊。
()<Speaker>老師</Speaker>||:除了剛開學打了個照面，之後就再也沒見過你媽媽。+我是能理解單親教職的不容易……不管怎麼說，學校的安排總該遵守下吧。
NPC-Sana(1)<Speaker>紗那</Speaker><Position>0,210</Position>||:……
NPC-Sana(1)<Speaker>老師</Speaker><Position>0,210</Position><同时置暗>||:聽說你媽媽放著成績優異的尖子生不管，倒是對墊底的差生挺上心。
NPC-Sana(1)<Speaker>紗那</Speaker><Position>0,210</Position>||:……
NPC-Sana(1)<Speaker>老師</Speaker><Position>0,210</Position><同时置暗>||:要是這份心思肯放一半在你身上就好了。
()<Speaker></Speaker>||<SE1>AVG_20Winter_Book</SE1>:老師翻開面前薄薄的筆記本。
()<Speaker>老師</Speaker>||:既然家長不能到場，那我只能跟你溝通了，回頭我寫個便條紙轉給你媽媽吧。+記得告訴她，校委會對她多次缺席家長會議非常不滿。
NPC-Sana(1)<Speaker>紗那</Speaker><Position>0,210</Position>||:是……
NPC-Sana(1)<Speaker>老師</Speaker><Position>0,210</Position><同时置暗>||:紗那，你的俄語學得很快，現在上課和日常交流都沒有什麼問題。+這學期的俄語作文也寫得很好，俄語老師特地要我表揚你。
NPC-Sana(1)<Speaker>紗那</Speaker><Position>0,210</Position>||:……謝謝老師。
()<Speaker></Speaker>||<CGDelay>0.5</CGDelay><SE1>AVG_20Winter_Book</SE1>:
()<Speaker>老師</Speaker>||:然後你這學期所有的課目成績都是A，非常優秀。+尤其是你的數學，考了滿分。+但是你的體育成績是零分，體育老師說你缺席了所有集體訓練課。
NPC-Sana(1)<Speaker>紗那</Speaker><Position>0,210</Position>||:……
NPC-Sana(1)<Speaker>老師</Speaker><Position>0,210</Position><同时置暗>||:你太不合群了，有不少同學都向我反映你很孤僻，總是自己待著，團課的時候也不見蹤影。+活在自己的世界裡可不行，下學期還是要開朗點，多結交點朋友。
NPC-Sana(1)<Speaker>紗那</Speaker><Position>0,210</Position>||:可是老師……
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:一直低垂著頭的紗那委屈地抬頭看向對面的老師。
NPC-Sana(4)<Speaker>紗那</Speaker><Position>0,210</Position>||:他們都不喜歡我……+我一靠近他們，就會罵我是骯髒的美國奸細……+有的時候不小心路過他們身邊，還會凶巴巴地推開我……
NPC-Sana(4)<Speaker>老師</Speaker><Position>0,210</Position><同时置暗>||:……
()<Speaker></Speaker>||:老師挑了挑眉，立刻用翻頁掩蓋掉紗那細若蚊吟的聲音。
()<Speaker>老師</Speaker>||:沒別的事了，今天就先這樣吧。
NPC-Sana(0)<Speaker>紗那</Speaker><Position>0,210</Position>||:嗯，謝謝老師！
()<Speaker></Speaker>||<SE1>RunStep</SE1>:像是被擰上發條的玩具小人，剛剛還哭喪著臉的紗那立刻從椅子上蹦下來，背起書包就往外跑去。
()<Speaker>老師</Speaker>||:你媽媽還沒來接你呢，你去哪啊？
NPC-Sana(0)<Speaker>紗那</Speaker><Position>0,210</Position>||:我去安娜姐姐家！
()<Speaker></Speaker>||<黑屏1>:
