()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><SE1>AVG_keyboardtype_sci</SE1><narrator>:——人類對於AI的想象已經重複了數十年乃至上百年，唯一亙古不變的，是對於自身人性的模仿。+那麼，要怎麼做，才能判斷它們的選擇源自對數據的分析，還是擁有意志的思考？
()||<黑屏1>:
NPC-Persica(4)<Speaker></Speaker>||<BIN>607</BIN><黑屏2><BGM>BGM_22Swim_langrensha</BGM><SE1>ClothingUp</SE1>:燈光晦暗，刺鼻的咖啡香氣彌漫的實驗室內，帕斯卡坐在座位上，正對著螢幕若有所思。
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(4)||:……新的人形？你似乎沒跟我提起過如此有魄力的計劃呢。
NPC-Havel(0);NPC-Persica(6)<Speaker>帕斯卡</Speaker>||:唔呃——！？靠，你怎麼駐個拐杖走路都沒有聲音啊？很嚇人好不好？
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(6)||:相比起你對我造成的驚嚇而言，這只不過是不痛不癢的回報罷了。+我聽說你進行了一次我未授權的實驗，而我居然還要親自跑來問結果。
NPC-Persica(7)<Speaker>帕斯卡</Speaker>||:……嘖。
()<Speaker></Speaker>||:手忙腳亂的帕斯卡聽到這句話，十分明顯地咋了下舌。
NPC-Havel(0)<Speaker>哈維爾</Speaker>||:我以為我們已經達成了彼此信賴的合作關係。
NPC-Havel(0);NPC-Persica(8)<Speaker>帕斯卡</Speaker>||:「彼此信賴」只是互不干涉的好聽的說法而已。+沒通知你是因為這次實驗跟產品參數沒有任何關係，單純只是我個人的實驗而已。
NPC-Havel(0)<Speaker>哈維爾</Speaker>||:你的任何實驗都不會跟我們沒有關係，對你的研究作出支持也是我們的工作。
()<Speaker></Speaker>||:透過鏡片，哈維爾銳利的目光凝視著桌面上的實驗報告。
NPC-Havel(0)<Speaker>哈維爾</Speaker>||<黑点1>:但我似乎理解你為何不願跟我提及了。+我只聽說了這次實驗的存在，但還沒想到結果居然……如此出人預料。
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><SE1>AVG_keyboardtype_sci</SE1><narrator>:實驗代號：「禁止餵食」。+實驗對象：M4A1，AR15，M4 SOPMOD II，M16A1+實驗序列：01+實驗結果：未能完成任務。
()||<黑点1>:
