()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>356</BIN><narrator>:莫斯科 安全屋
()||<BGM>GF_2022_Summer_AVG_1</BGM>:費了幾桶水泥溶解劑後，瑪姬終於成功把凱瑟琳從桶裡撈了出來。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>||:嗚……感覺自己皮膚像砂紙一樣……
NPC-Scalper(3);ColtWalker(1)<Speaker>瑪姬</Speaker>||:能完整出來不錯了。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(1)||:你這摳門鬼，就不能買點好的溶劑？！
NPC-Scalper(3);ColtWalker(1)<Speaker>瑪姬</Speaker>||:哦，用你打來的錢買的，還以為你會希望我省著點花。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(1)||:對哦，我的錢！全部還給我！
NPC-Scalper(3);ColtWalker(1)<Speaker>瑪姬</Speaker>||:欸？明明轉帳的留言說得那麼深情……+「永別了，瑪姬……」
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>||:閉嘴啊！！！我那個時候真以為自己要死了！！！
()||<SE1>AVG_va_addingredient</SE1>:狠狠地對瑪姬施加打擊後，凱瑟琳坐在地上給自己上了一堆機油。
()||<SE1>AVG_File_Put</SE1>:然後心滿意足地坐躺在沙發上。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>||<BGM>BGM_Empty</BGM>:喂，所以那個委託到底是什麼？
NPC-Scalper(3);ColtWalker(3)<Speaker>瑪姬</Speaker>||<BGM>GF_21summer_avg_SecretAgent</BGM>:……+還不清楚。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(3)||:還不清楚你就敢接？
NPC-Scalper(3);ColtWalker(3)<Speaker>瑪姬</Speaker>||:總之不會是容易的事情。+光是接下這個委託，對方就敢把你我從律賊手裡搶下命來。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(3)||:……委託人肯定不會就這樣讓我們占便宜的，總感覺很快就會還回去。
NPC-Scalper(3);ColtWalker(1)<Speaker>瑪姬</Speaker>||:放心，每一次我們都爬上了諾亞方舟的甲板，這次也不會例外。
NPC-Scalper(0)<Speaker>凱瑟琳</Speaker>;ColtWalker(1)||:也是。+所以從什麼時候開始做那個單子？
NPC-Scalper(0);ColtWalker(3)<Speaker>瑪姬</Speaker>||:現在。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(3)||:啊……那該怎麼開始？
ColtWalker(3)<Speaker>瑪姬</Speaker>||:明天就知道了，目前為止對方只提供了單子名稱「皇家賭場」以及一個匿名通訊。
()||<SE1>AVG_tele_connect</SE1>:嘀——+瑪姬重現了那個無法溯源的通訊。
()<Speaker>серый</Speaker><通讯框>||:<color=#00CCFF>你的面試我將安排在明早9點，坐標如下。</color>
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>||:確實完全無法溯源……
NPC-Scalper(3);ColtWalker(3)<Speaker>瑪姬</Speaker>||:很久沒有遇見這樣的對手了。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(3)||:能輕易搞定律賊……一定不是什麼簡單的角色……+真是剛出虎穴，又進狼窩。
NPC-Scalper(3);ColtWalker(3)<Speaker>瑪姬</Speaker>||:你錯了，這叫驅虎吞狼。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(3)||:不過，倒也不是完全沒有線索，серый這個詞語，是俄語中灰色的意思。
ColtWalker(3)<Speaker>瑪姬</Speaker>||:灰色……+我猜這個詞語背後還有著其他含義，需要我們去一層層剝開……+這讓我想起了很多舊時光，只不過那時候的客人，遠沒有現在的難纏。
()||<黑屏1><BGM>BGM_Empty</BGM>:
