()||<BIN>22</BIN><BGM>BGM_Room</BGM>:…………
NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:你這邊還是亂得和狗窩一樣啊。+換成別的投資人要是看到你的實驗室這個樣子，一定會心痛自己的錢白花了。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:但我的投資人是你，你會感謝我把錢都花在刀刃上了。+你怎麼過了這麼久才來？
NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:我還真看不出來你沒白花我的錢。+而且你要知道想甩掉那些監視我的人可是很花功夫的。+此刻的另一邊應該打得不可開交了吧。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:安潔現在需要更多線索和證據，而我也想知道關於萊柯的……真相。
NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:你們已經知道了哪些東西？
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:我看到了萊柯是怎麼死的……伊萊莎啟動的時候萊柯他已經死了…………+他是被我們自己的人形射殺的，而他準備銷毀的文檔裡有“歐伽斯系統內置重啟報告”的字樣。+哈維爾先生，歐伽斯系統重啟的目的究竟是什麼？你跟卡特在2032年到底做了什麼？
NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:哼，格里芬和第六局都被愚弄了，卡特是很個聰明的人，他能從低級軍官當上將軍不是一個偶然。+……關於三十多年前的事情，我只能告訴你，當時我們共事是為了解除叛軍想引爆在明斯克附近的機密設施的威脅。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:機密設施？
NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:OKB-413。這是那個遺跡該死的編號。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:遺跡……
NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:卡特負責拿下目標，而我帶領工程師負責拆除。+那個設施是為了測試和調整“梭魚”而特意建設在遺跡之上的。+其本身使用了歐伽斯的一個單位節點來運算。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:我記得歐伽斯……+是前蘇聯在80年代推廣的全國自動化系統所用先鋒級網路結構……
NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:沒錯，但是原型設計恐怕更早，設備和系統方案都是從遺跡中挖掘出來的。+雖然這只是我的想法，但憑那玩意的先進程度，我推斷那是用來維持遺跡中的生命而設計的某種自動控制系統。
NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:在執行任務時，叛軍為了引發更大的破壞，甚至對“梭魚”系統進行了過載啟動。+雖然整個系統只啟動了一瞬間……那還不如說是點火吧……+但是…………
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:但是……？
NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:遺跡伴隨著點火傳來了高能量訊號，要不是我在現場，光看檢測儀器一定會認為整個遺跡已經爆炸了。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:遺跡……被啟動了？
NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:僅僅是一瞬間，卡特帶領的突擊部隊攻進了控制室……+關閉“梭魚”後緊接著我們就把所有的管線都拆除，那個區域的歐伽斯系統就這麼完蛋了。+就不過就是這一瞬間，想必卡特他們是永遠不會忘記的。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:所以說，軍方的目的是……
NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:是什麼想必你已經猜到了吧，安潔。
NPC-Havel(0)<Speaker></Speaker></Speaker>||<BIN>22</BIN>:………
NPC-Ange(0)<Speaker>安潔</Speaker><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:你怎麼知道我在這裡？
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:我一進門，帕斯卡就把和你的保密頻道打開了，這點小伎倆在我面前是一點都不好使的。
NPC-Ange(0)<Speaker>安潔</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:嘖……老狐狸，照你這麼說，比我預想的情況要更糟糕。
NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:是的，所以我才會到這裡來。+對軍隊來說，三戰是被強行停止的，而現在政府又想和原本的敵人組成什麼聯合政府，這對那些還活在三戰的軍人來說無異於背叛。+所以啟動遺跡要挾全世界回到冷戰秩序就是他們的政治目的了。+你還記得“確保相互毀滅”是什麼意思嗎？哼，真是骯髒。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:但這又和萊柯有什麼關係呢？為什麼非要殺他不可！？
