()||<BIN>79</BIN><BGM>BGM_Room</BGM>:……同一時間，軍方宴會。
NPC-Carter(0)<Speaker>卡特</Speaker>||:現在，讓我們來談正事吧。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Carter(0)||:洗耳恭聽。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:這次由於是公關行動，軍隊無法派出重裝部隊。+相應的，葉戈爾上尉會帶領他三支經過特殊訓練的步兵人形特混中隊，與你們格里芬的梯隊同時移動。+同時，我們會開放我們的網路和格里芬對接，這樣你們就能共用軍用情報系統了。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Carter(0)||:我很樂意共用軍用情報，不過之前鐵血使用過一種名為“傘”的改寫程式曾今侵入過我方的人形系統。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:嗯……我知道，而且我們早有準備。+我會申請使用更高級別的主動防護系統，並會使用中央伺服器組做電子對抗。+再怎麼說那也是民用企業製作的病毒，不會成為大礙。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Carter(0)||:嗯，有對抗手段就沒問題了。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:根據7號文檔的情報，我們大約能鎖定當時萊科為設計他那套AI放置的主機電腦群的位置。+排除除了“伊萊莎”——也就是主腦以外所有的鐵血單位，將“伊萊莎”帶回，這是我們的主要目標。+演習過程有媒體關注，雖然我們做了相應的管制，但葉戈爾的部隊沒法動作太大。+所以在完成週邊支援後，“伊萊莎”的奪取就交給你的人形們了。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Carter(0)||:明白了，我會去做對接的準備工作，作戰的細節處理會由這位指揮官來負責。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:嗯，指揮官，能不能讓你的轄區重歸和平就看這次行動了。細節就請你和葉戈爾上尉共同商量吧。+那麼我……嗯？
NPC-Kyruger(0);NPC-Yegor(0)<Speaker></Speaker>||:…………葉戈爾靠近在卡特耳邊說了些什麼。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||<黑屏1>:抱歉，有些事情需要處理一下，請你們在這裡坐一會吧，我馬上就回來。
()||<黑屏2>:…………卡特和葉戈爾離開了。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>||:重歸和平……如果真能這樣就好了。
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:怎麼？你開始懷疑這次行動的目的了？
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Havel(0)||:看來你是挑準時機回來的。
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:我已經把我該打的招呼給打完了，而且下面的椅子沒這裡的舒服……人也是。
NPC-Kyruger(0)<Speaker></Speaker>;NPC-Havel(0)||:…………克魯格看了看門口。
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:沒事，卡特那傢伙五分鐘後才會回來，不用太介意他。+雖然你的格里芬一直在向我的公司下訂單，不過這樣面對面的聊天已經很久沒有過了吧。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Havel(0)||:我想我們之前有些……你知道，誤會。
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||<黑屏1>:嗯嗯沒錯，是誤會是誤會，所以現在我們來聊聊吧，說不定這個“誤會”就會解開了。
()||<BIN>10</BIN><黑点2>:
