嗎？()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>72</BIN><黑屏2><BGM>m_avg_labyrinth</BGM>:與此同時，塔林的另一側。
()<Speaker></Speaker>||:嗞拉——
()<Speaker>UMP9</Speaker>||:<color=#00CCFF>喂，45姐！這樣聽得到嗎？</color>
()<Speaker></Speaker>||:伴隨著斷斷續續的電流聲，9的通訊訊號這時突然接入。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:嗯。+沒想到你能重新鏈接成功。+9，順便幫我記錄一下這些——
UMP45Mod(0)<Speaker>UMP9</Speaker>||:<color=#00CCFF>那個——45姐你現……還潛入M4的二級——嗞拉——平層裡嗎？</color>+<color=#00CCFF>我無法……在她的二級平層中維持——嗞拉——心智意識……</color>+<color=#00CCFF>只能用最低——嗞——限度音頻……和你對話……</color>
UMP45Mod(0)<Speaker>UMP45</Speaker>||:看來就算是從後門進來也很難維持穩定，沒事9就這樣吧，萬一要是被M4發現就不妙了。+你幫我做好圖像記錄就行。
()<Speaker></Speaker>||<白屏1>:UMP45在白色的空間裡警惕地緩慢行走，她看到M4A1的殘影，還有牽著M4的手的小女孩。+而這些影像在不久之後也如泡影一般消失在UMP45的眼前。
()<Speaker></Speaker>||<BIN>195</BIN><白屏2>:UMP45停下腳步，環顧四周，然後朝著M4A1消失的那個方向快步走去。+UMP45的腳步停住了，而此時UMP9正監控的訊號也突然開始詭異地不受控起來。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:這個M4A1的心智空間竟然這麼龐大……大到不合常理的地步了。+一個人形可以承載如此大的心智空間嗎？還是說這個空間並不是安裝在她身上的？+這是什麼地方？為什麼這裡的一切都是顛倒過來的……
()<Speaker></Speaker>||:陽光從樹蔭的縫隙中宛如瀑布般落下來，倒立而上的樹木既詭異又迷人，UMP45忍不住駐足觀望了起來。
UMP45Mod(0)<Speaker>UMP45</Speaker>||<白屏1>:M4A1內在認知的邏輯如此混亂，但是外在完全觀察不出來。如果普通人形的底層邏輯出錯，估計就早報錯癱瘓了。+……還是說，這並不是她的內在。一個存在於外部卻在內部運行的心智空間……這可能嗎？
M4A1Mod(0)<Speaker></Speaker><Shake>||<BIN>201</BIN><白屏2><SE1>Runstep</SE1>:突然，M4A1從45的身邊跑過。
UMP45Mod(0)<Speaker>UMP45</Speaker>||<白屏1>:M4？！啊……等等！
()<Speaker></Speaker>||<BIN>206</BIN><白屏2>:45緊跟著幻影朝前跑去，突然間空間變化了，一座洋房出現在她眼前。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:幻覺嗎？還是記憶碎片？
()<Speaker></Speaker>||:不斷地有M4A1的幻影穿過45的身體，走進那座詭異的洋房。+不同的M4用著不同的步伐抱著不同的表情，急匆匆地走了進去，不知道是不是自己的錯覺，45覺得天上的樹越來越茂密了。
()<Speaker>UMP9</Speaker>||:<color=#00CCFF>45姐？</color>+<color=#00CCFF>不行——我這邊的訊號太混亂了，雜音也很大……</color>+<color=#00CCFF>你遇到了什麼？</color>
()<Speaker></Speaker>||:45站在之前M4不斷穿過的地方，看著眼前那座洋房。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:沒什麼……只是前面，有一座洋房……我覺得答案應該就在這裡面。
()<Speaker>UMP9</Speaker>||:<color=#00CCFF>洋房？心智中出現洋房，我覺得不太對勁，45——</color>
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><闪屏><duration>5</duration><rate>10</rate></闪屏><SE1>AVG_whitenoise</SE1>:嗞拉——
()<Speaker></Speaker>||:通訊斷掉了。
()<Speaker></Speaker>||<黑屏1><BGM>m_avg_tension</BGM>:白光似乎有些炫目，UMP45眯起眼睛注視著前方那座洋房的輪廓，走到洋房大門前。+她剛想要抬腳向前走，卻突然被什麼人從身前很大力地推了一把。
()||<BIN>9</BIN><黑屏2>:45眼前的白光剎那間消失了，與此同時她感到自己在不斷下墜。+在黑暗中墜落了很久，45感覺自己被砸在地上。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:該死，這傢伙的二級平層怎麼這麼奇怪？
()<Speaker></Speaker>||:45的自言自語剛說出口，就下意識地立馬收住。+也正是這個時候，45才猛然明白自己此時正身處何處。
UMP45Mod(0)<Speaker>UMP45</Speaker>||<黑屏1>:看來被發現得真快，已經不在M4的心智中了嗎。+那就讓我來會會你吧，隱藏在人形心智中的“怪物”。
