()||<BIN>7</BIN><BGM>BGM_Frontline</BGM>:…………
UMP45(0)<Speaker>UMP45</Speaker>||:好了，RO，準備都完成了吧？
RO635(0)<Speaker>RO635</Speaker>||:45，你確定要這麼做嗎？
UMP45(0)<Speaker>UMP45</Speaker>||:我已經把地圖和建議都給你了。剩下的，就看你有多麼相信我了。
RO635(0)<Speaker>RO635</Speaker>||:……好吧。
RO635(5)<Speaker>RO635</Speaker>||:各位，接下來，404會潛入基地，關閉炮台的控制電源。
M16(3)<Speaker>M16A1</Speaker>||:還用這招？建築師不會沒有防備的。
UMP45(0)<Speaker>UMP45</Speaker>||:我之前已經觀察過了。+以她的控制權，不可能同時防備住全部的電源。
RO635(0)<Speaker>RO635</Speaker>||:雖然只能爭取一點時間，但是足夠我們離開這裡了。
UMP9(0)<Speaker>UMP9</Speaker>||:而且除了炮台的電源，我們還會切斷它們的通訊網。+借此打亂它們的行動，還能爭取一點時間。
RO635(0)<Speaker>RO635</Speaker>||:就是這樣，而M1887這時需要帶領其他成員，在戰場上吸引計量官的行動。
M1887(0)<Speaker>M1887</Speaker><通讯框>||:RO635，也就是說，我們要同時面對兩個頭目？
RO635(0)<Speaker>RO635</Speaker>||:是的，這要麻煩你們了，請先備份好心智雲圖。+不用太擔心，404完成行動之前，我會一直為你們提供指揮的。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:可是就算這樣，還是勉強了點吧……
RO635(0)<Speaker>RO635</Speaker>||:如果不這麼做，我們就再也沒機會這麼做了。+AR小組會趁機偷襲基地，入侵基地的控制系統，臨時打開通往區域外的通道。+最後全員緊急突破通道，一起前往機場迎接救援，聽到了嗎？
M16(3)<Speaker>M16A1</Speaker>||:RO……+所有人都只能相信你，希望你明白這一點。
RO635(0)<Speaker>RO635</Speaker>||:放心，我記得你說的話。+各位，請相信我，讓我們一起回家吧。
M1887(0)<Speaker>M1887</Speaker><通讯框>||:我願意接受指揮者的所有命令，因為這是人形的第一道命令。
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:非常好，那沒有其它異議了吧？+RO，準備最後的作戰吧。
