()||<BIN>22</BIN><黑屏2><BGM>BGM_Empty</BGM>:……數分鐘後。+……滴。
NPC-Ange(0)<Speaker>安潔</Speaker><通讯框>||<BGM>BGM_Danger</BGM><BIN>22</BIN>:帕斯卡！+你說得沒錯，AK12報告軍方確實正在進行大規模數據入侵。+但是數據經過了高度加密，傳輸和攔截起來很困難！
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:不管怎麼樣，先傳過來再說，我一定會解決的！
NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:不行，根本沒法調用命令！+也許……真的沒辦法了……
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:就這麼眼睜睜地看著嗎？+安潔……+難道我們從一開始……就註定贏不了……
NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:不……+還有最後的手段……+如果真的是到了無法輓回的地步……
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:最後的手段？+你在說什麼，安潔？
NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:帕斯卡，如果我……
NPC-Persica(3)<Speaker></Speaker>||<BIN>22</BIN>:呲……呲……
NPC-Persica(1)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN><BGM>BGM_Empty</BGM><黑屏1>:……安潔？+喂，安潔！+你那邊發生了什麼！
()||<BIN>9</BIN>:……嗡——！
()||:……
()||:…………
帕斯卡()<Speaker>帕斯卡</Speaker>||:安……潔……？
()||<黑屏1>:……周圍一片寂靜。
