SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<BIN>10</BIN>:M16，你看看前面那個！
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:……！
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>48</BIN>:那個……是【木星】？！
RO635()<Speaker>RO635</Speaker>||:……沒錯，巨型炮台【木星】。+不要輕易靠近，它的火力不是我們能抵擋的。
M16A1()<Speaker>M16A1</Speaker>||:RO，關於這玩意，你都知道些什麼？
RO635()<Speaker>RO635</Speaker>||:我們之前在人類居住地巡邏時，和這東西交手過。+根據帕斯卡的研究，炮台運用的技術可能是鐵血入侵軍方後獲得的。+鐵血的內部代號“馬爾都克”，應該是它們針對我們而專門研發的。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:哼，「格里芬殺手」咧？+不過我們現在有辦法對付吧？
RO635()<Speaker>RO635</Speaker>||<黑屏1>:從正面破壞它幾乎是不可能的，但是根據之前的行動……+如果能帶著倖存者們占領炮台據點周圍的據點，就可以用入侵程序大幅削弱它的火力。
M16A1()<Speaker>M16A1</Speaker>||<BIN>10</BIN><黑屏2>:就是說，要將炮台完全包圍，就能降低它的威脅，是嗎？
RO635()<Speaker>RO635</Speaker>||:沒錯，如果我們要與它為敵，這就是最佳的應對方案。+先將其包圍，然後再正面破壞它的運作。
M16A1()<Speaker>M16A1</Speaker>||:哈……我們還是祈禱這種戰鬥晚一些來臨吧。
RO635()<Speaker>RO635</Speaker>||:嗯，至少在補給充足之後再考慮吧。+我們現在……已經饑寒交困，很難行動了……
()||:【提示】如果要占領炮台據點，可先包圍占領炮台據點的周遭據點，將大幅削弱炮台火力。
