()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>417</BIN><回忆><BGM>GF_22W_BGM_3</BGM>:……
()<Speaker>實驗體</Speaker>||:<color=#00CCFF>甘拉狄上尉，他已經沒有生命體徵了……</color>
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:他還是什麼也沒有說嗎？
NPC-Pamzan(10)<Speaker>實驗體</Speaker><Position>0,-70</Position><同时置暗>||:<color=#00CCFF>我們按照您的要求進行了審問，他交待的資訊全部是我們已經掌握的。</color>
()||:螢幕上傳來的即時畫面中，一名實驗體正從諾維科夫指揮官的屍體上站起來。+諾維科夫指揮官鼻青臉腫地趴伏在倉庫的地面上，鮮血正從頸部的大動脈上插著的匕首噴湧而出。
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:……
()<Speaker>實驗體</Speaker>||:<color=#00CCFF>我只是想恐嚇他，沒想到他被嚇得一頭撞上了匕首……</color>
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:算了，既然人已經死了，就利用下他最後的餘溫吧。
NPC-Pamzan(10)<Speaker>實驗體</Speaker><Position>0,-70</Position><同时置暗>||:<color=#00CCFF>您的意思是？</color>
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:打掃乾淨，處理成單人激情謀殺的現場。
NPC-Pamzan(10)<Speaker>實驗體</Speaker><Position>0,-70</Position><同时置暗>||<黑点1>:<color=#00CCFF></color>……做成安潔指揮官的謀殺現場嗎？我們明白了。
()||<黑点2><关闭蒙版>:久違地露出了笑意，他站在螢幕前，駐足觀看著格里芬基地審訊室的畫面。+因為是通過非法途徑駭入，畫面顯得有些模糊搖曳，但他依然能辨認出安潔指揮官和她臉上的憤怒。
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:乖乖呆在這裡吧……+我馬上就會來找到你，安潔……
()||:他的手指撫上螢幕那張模糊的臉龐——
()||<SE1>AVG_whitenoise</SE1>:茲——突如其來的劇痛閃電般地從他的右側太陽穴竄過腦部。
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position><Shake>||:嘖……
()||<黑屏1>:他捂住嗡嗡作響的腦部，感受到掩蓋在髮絲下的右側太陽穴的神經穩定器又鬆動了。
NPC-Ange(38)<Speaker>？</Speaker>||<BIN>7</BIN><黑屏2><回忆><黑屏1>:……
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||<黑屏2><关闭蒙版><BIN>417</BIN>:又來了……+老師……我需要您的治療……
()||:他慌亂地喘息著，撥通了某個通訊。
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:老師……！
NPC-Pamzan(10)<Position>0,-70</Position>;NytoWhite(0)<Speaker>白涅托</Speaker><通讯框>||:<color=#00CCFF>紗那姐姐正在更新配置，你如果有緊急的事情，我可以等更新結束了幫你轉告。</color>
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>;NytoWhite(0)<通讯框>||:紗那……+我的神經穩定器出問題了，我需要老師。
NPC-Pamzan(10)<Position>0,-70</Position>;NytoWhite(0)<Speaker>白涅托</Speaker><通讯框>||:<color=#00CCFF>結束實驗後我會第一時間轉告她。</color>
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>;NytoWhite(0)<通讯框>||:嗯……
NPC-Pamzan(10)<Position>0,-70</Position>;NytoWhite(0)<Speaker>白涅托</Speaker><通讯框>||:<color=#00CCFF>還有什麼事嗎？</color>
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>;NytoWhite(0)<通讯框>||:妹妹……紗那她怎麼樣了？
NPC-Pamzan(10)<Position>0,-70</Position>;NytoWhite(0)<Speaker>白涅托</Speaker><通讯框>||:<color=#00CCFF>目前狀況穩定，老師說如果你問起的話，讓你不要擔心。</color>
NytoWhite(0)<Speaker>白涅托</Speaker><通讯框>||:<color=#00CCFF>好好完成你的任務，不要忘記過去你所經歷的一切。</color>
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:是，我明白。
()||<黑屏1><BGM>BGM_Empty</BGM><SE1>AVG_tele_disconnect</SE1>:放下通訊，他緩緩坐回鐵皮椅上。+眼前的畫面不再是格里芬基地的審訊室，他也不在污染嚴重的廢棄區。
()||<黑屏2><边框>2</边框><BIN>7</BIN><SE1>GF_Halloween_Wind_loop</SE1>:他回到了故鄉的白樺樹林，紗那正在樹下等著他。+他們約定好了今天要去尋找林中的鳥群。
()<Speaker>？？？</Speaker>||<边框>2</边框>:紗那，走吧。
NPC-Sana(0)<Speaker>紗那</Speaker><Position>0,210</Position>||<边框>2</边框>:嗯！
()||<黑屏1><边框>2</边框>:他拍了拍紗那凍得通紅的小臉，然後牽起她裹在厚厚手套下的手，在齊膝的雪地中，兩人深一腳淺一腳地遠去了……
