()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<BIN>357</BIN><黑屏2><BGM>GF_EV9_Story</BGM>:……柏林市區。+隨著裝置解除的咔噠聲，建築的大門徐徐打開。+昏暗的室內，自動亮起了幾盞小燈。+茲——+門口出現了一個男人的全息投影。
NPC-Griffin(0)<Speaker>？？？</Speaker><通讯框>||:<color=#00CCFF>下午好，指揮官。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:您好，爵士。
NPC-Griffin(0)<Speaker>？？？</Speaker><通讯框>||:<color=#00CCFF>你看起來有點拘謹，指揮官。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:……畢竟不是每個格里芬的指揮官都有機會見到您本人的。+關於您的傳聞，我也聽過實在太多了。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>傳聞僅僅只是傳聞罷了。</color>+<color=#00CCFF>我現在只是個上了年紀的老人，只能做些微不足道的後勤工作。</color>+<color=#00CCFF>你可以把我當作是一位普通的長輩，指揮官，我們之間的距離比你想像地要近得多。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:這，這怎麼行，爵士您可是……
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>就叫我「格里芬」吧，指揮官。</color>+<color=#00CCFF>私底下，我希望我們互相能稍微親切一些。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:呃……好的，格里芬……先生。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>呵呵。</color>+<color=#00CCFF>雖然是值得紀念的初次見面，但我只能以這樣的形式與你談話。</color>+<color=#00CCFF>希望不會讓你覺得太失禮。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:不，當然不會。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>感謝你的大度，指揮官。</color>+<color=#00CCFF>關於你的傳聞，我也聽過不少。</color>+<color=#00CCFF>我本以為像你這樣久經沙場的戰士都會沾染上洗不去的血性和殺氣。</color>+<color=#00CCFF>但看來，你也只是個溫和又懂禮貌的年輕人。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:我的經歷不及您的十分之一。+而且，我也不希望自己變成我的敵人的樣子。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>呵呵，抱歉，我的廢話是有些多了。</color>+<color=#00CCFF>只是見到你讓我覺得很高興。</color>+<color=#00CCFF>克魯格的眼光一向獨到，對於可用之才我都會過於偏愛。</color>+<color=#00CCFF>請原諒我的壞毛病。</color>
NPC-Griffin(0)<通讯框>;VP1915(0)<Speaker>帕羅莎</Speaker>||:爵士。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>啊，請隨意坐下，不要拘謹。</color>+<color=#00CCFF>我們可以開始正題了，指揮官。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:好的。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||<黑屏1>:<color=#00CCFF>那麼，在我開始之前。</color>+<color=#00CCFF>指揮官，相信你已經見過這個人了。</color>
()<Speaker>指揮官</Speaker><通讯框>||<黑屏2><BIN>335</BIN>:我的確已經找到了瑪赫蓮……但是，她與資料不符合的地方實在太多。+在有確鑿的證據可以證明之前，我不建議將她和畫面上的那位判斷為同一個人。
()||:格里芬露出了微笑。
()<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>你果然十分敏銳，克魯格對你的評價絲毫不摻水分，指揮官。</color>+<color=#00CCFF>是的，圖像上的這個人並非是與你打交道的瑪赫蓮。</color>+<color=#00CCFF>而是在不萊梅時潛伏在安潔身邊的帕拉蒂斯，她竊取了「默莉朵」的名字滲透進了我們的政府中。</color>+<color=#00CCFF>當然為了方便理解，我們現在依然還是叫她「默莉朵」。</color>
()<Speaker>指揮官</Speaker><通讯框>||<黑屏1>:瑪赫蓮就是默莉朵？+還是說……有兩個長得一模一樣的人？
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||<BIN>357</BIN><黑屏2>:<color=#00CCFF>這個問題的答案，正是我希望你能找到的。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:……
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>關於這個問題，我還為你安排了一位顧問。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:顧問？
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>我相信，你會非常樂意與安潔莉婭上尉並肩作戰的。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:安潔？她也到柏林了？
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>或許也到了你們好好見一次面的時候了。</color>+<color=#00CCFF>關於不萊梅的事件，以及默莉朵的信息，你會有很多問題想要問她的。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:好的，我知道了。+謝謝您……確實，對我來說沒有比安潔更可靠的朋友了。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>最可靠的朋友確實往往都在身邊，指揮官。</color>+<color=#00CCFF>我希望在你們溝通之後，你可以成為我們在柏林的一柄利刃。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:您要我調查帕拉蒂斯在德國的計劃？
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>從瑪赫蓮這個點入手，我想會有收穫的。</color>+<color=#00CCFF>想必，你已經注意到伯恩村的一些異常了。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:……瑪赫蓮被村民們用一種怪異的方式崇拜著。+他們的那種奇異的宗教感，毫無疑問是帕拉蒂斯一貫的風格。+他們的口號也證明了我的猜想……帕拉蒂斯的影響已經開始擴散，甚至根深蒂固了。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>嗯，還有呢？</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:還有就是……瑪赫蓮，或者說默莉朵，不論她的真實身份如何。+帕拉蒂斯都非常重視她。+在我們帶走她的時候，不止是村民，就連帕拉蒂斯也派出了大量的人員對我們進行堵截。+那絕不是演技，她們對瑪赫蓮的執著是真實的。
NPC-Griffin(0)<通讯框>;VP1915(0)<Speaker>帕羅莎</Speaker>||:除了瑪赫蓮的情報，此前的偵察過程中，甚至發現了一名高級涅托的存在。+但是剛才的突圍過程中並沒有和她正面交鋒。
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:不論理由如何，它們非常不想讓瑪赫蓮落到我的手中。+幸好我們採取了滲透的行動，才利用了敵人的鬆懈之機將她安全地帶出來。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>你做得很好，指揮官。</color>+<color=#00CCFF>克魯格果然沒有看錯你，第一次任務你就給了一份大驚喜。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:呃……謝謝您的誇獎。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>既然帕拉蒂斯如此重視瑪赫蓮，那我們就完全可以利用這種重視，來謀取更多的線索。</color>+<color=#00CCFF>我將這件事全權交由你處理，指揮官，除你之外，我再找不到對帕拉蒂斯如此了解，又如此可靠的人了。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:……是，我明白了。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>帕拉蒂斯在德國各地的異動越來越頻繁。</color>+<color=#00CCFF>不萊梅的事件只是其中之一。</color>+<color=#00CCFF>而現在，那個該死的威廉……終於將手伸到了柏林。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:那個威廉，到底是什麼人？
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>我來這裡正是為了調查此事。</color>+<color=#00CCFF>從他的行為方式上，我們只知道他至少是一個身居高位者，不然無法解釋他為何能調動那麼多資源。</color>+<color=#00CCFF>我還不知道他的計劃是什麼內容，但我很肯定，他會不擇手段，妨礙我們的……事業。</color>+<color=#00CCFF>甚至不惜引發一些恐怖事件。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:我會全力調查的，但如果再出現之前那樣與帕拉蒂斯正面衝突的情況……+現在的人手有些不足。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>我很希望能夠親自為你提供援助。</color>+<color=#00CCFF>但我手頭的事務並不允許我這樣做……希望你諒解，指揮官。</color>+<color=#00CCFF>你先前的努力所成就的契機，我絕不會讓它付諸東流。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:您言重了。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>不過，我依然會在我目前的能力範圍內幫助你。</color>+<color=#00CCFF>我希望你喜歡我為你準備的臨時指揮部，這裡的設備很齊全，你可以隨意使用這裡的所有物品。</color>+<color=#00CCFF>另外。</color>+<color=#00CCFF>帕羅莎，你和獅鷲小隊接下來由指揮官全權負責，我要你全力輔佐指揮官的一切行動。</color>
NPC-Griffin(0)<Speaker><通讯框>;VP1915(0)<Speaker>帕羅莎</Speaker>||:是！
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:……謝謝您的支持，但是。+我不知道僅憑我自己究竟能否阻止帕拉蒂斯的計劃。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>但我相信，你會竭盡全力。</color>+<color=#00CCFF>就像你一直以來所做的那樣，不是嗎？</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:……
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>不要過分地低估了自己，指揮官。</color>+<color=#00CCFF>你曾做到的事，在任何人看來都值得稱之奇蹟。</color>
NPC-Griffin(0)<Speaker>指揮官</Speaker><通讯框>||:……我明白了。
NPC-Griffin(0)<Speaker>格里芬</Speaker><通讯框>||:<color=#00CCFF>你似乎總有些放不開。</color>+<color=#00CCFF>也許是我誤會了，但莫非，我還沒能贏取你的信賴？</color>
