()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>772</BIN><BGM>BGM_Room</BGM>:2064年X月X日、フランクフルトホワイトエリアのホテル。
()<Speaker>指揮官</Speaker>||<SE1>ClothingUp</SE1>:取材番組？
()||:指揮官は思わず眉を顰める。
NPC-Bodyguard2(0)<Speaker>見張りのエージェント</Speaker>||:DDR2放送局の企画です。
NPC-Bodyguard2(0)<同时置暗><Speaker>指揮官</Speaker>||:……知らんがな。
NPC-Bodyguard2(0)<Speaker>見張りのエージェント</Speaker>||:大丈夫です。ドイツ全国にて放送されるものだと理解していただければ。+今は特殊な時期なので、そういった宣伝も必要です。+サーからも、ぜひこちらの番組のゲストとして出演していただければと。
NPC-Bodyguard2(0)<同时置暗><Speaker>指揮官</Speaker>||:……
()||:サーのやり口を、指揮官はよく知っている。+この取材の内容は、今後のロ連のプロパガンダにも使われるのだろう。
()||:指揮官には、そのプロパガンダのマスコットになって欲しいのだ。+なにせ、「戦争の英雄」だから。
()||:そんなハリボテの象徴ほど、民衆の心を奮い立たせられる物はない。
NPC-Bodyguard2(0)<Speaker>見張りのエージェント</Speaker>||:今のドイツの人々には、希望が必要です。+あなたに出演していただけるのであれば、きっとそれだけの――
()<Speaker>指揮官</Speaker>||:サーがそう言わせているのだろう？
NPC-Bodyguard2(0)<Speaker>見張りのエージェント</Speaker>||:……
NPC-Bodyguard2(0)<同时置暗><Speaker>指揮官</Speaker>||:……分かった、取材は受けるよ。
NPC-Bodyguard2(0)<Speaker>見張りのエージェント</Speaker>||:ありがとうございます。+後日、アシスタントが詳しい内容をご案内いたします。
()||:冬を越すには、それなりの備えが必要だ。+……約束の時が来るまで、耐え忍ぶしかない。
()||<CGDelay>0.5</CGDelay>:
()||<黑屏1>:
()||<BIN>9</BIN><黑屏2><BGM>BGM_Empty</BGM>:
()||<黑屏1>:
()||<BIN>417</BIN><黑屏2>:2064年X月X日、フランクフルトホワイトエリアのとあるスタジオの控え室。
()||:取材開始の5分前。
()<Speaker>アシスタント</Speaker>||<SE1>ClothingUp</SE1>:イメージには気を付けましょう。民衆は、やさしさのある英雄を//n望んでいます。+それから、例の決め台詞も。
()<Speaker>指揮官</Speaker>||:新世界の輝きとなるために？
()<Speaker>アシスタント</Speaker>||<CGDelay>0.5</CGDelay>:違います、もう一つの方です。
()<Speaker>指揮官</Speaker>||:……人類に再び偉大な時代を？
()<Speaker>アシスタント</Speaker>||:はい、それです。そういう分かりやすいスローガンの方が、//n民衆を動かしやすいです。
