()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
NPC-Bodyguard2(0)<Speaker>黒衣の男</Speaker>||<BIN>18</BIN><黑屏2>:乗ってください、ミズ・ペルシカ。
NPC-Bodyguard2(0)<Speaker></Speaker>||<黑屏1>:黒衣の男の監視のもと、//nペルシカはしぶしぶハーヴェルのリムジンへと乗り込んだ。
()<Speaker></Speaker>||<BIN>166</BIN><黑屏2><BGM>BGM_Room</BGM>:リムジンは街を安定走行している。
NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:うぅ……胃が痛い。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(3)||:緊張すると胃に来る癖、まだ治っておらんかったのか。//nこの車が気に食わんのか？+安心したまえ。車体は全て防弾、//n下部には爆発保護加工を施した特別製だ。安全は保障しよう。
NPC-Havel(0);NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:ずっと長い間実験室を離れてなかったのよ……+襲撃より、あなたのほうが危険な気がしてるわ。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(3)||:私がか？心外だな、ペルシカ。//nこんなにも君の安全を配慮しているというのに。+それに私が来なくとも、//n安全局の情報官が君の実験室のドアをノックしに来るのは時間の問題だった。+私と比べれば、彼らの友好さには目を剝くことになるだろうな。
NPC-Havel(0);NPC-Persica(1)<Speaker>ペルシカ</Speaker><Shake>||:うぐっ……
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(1)||:車にいる内に、おしゃべりを楽しもうじゃないか。+研究院にいた頃の話を聞かせてくれんか？+珍しく表に出て気分転換もできただろう？//nきっと私に話したい楽しい思い出があるんじゃないか？
NPC-Havel(0);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||:何が知りたいの？
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(0)||:リコと君の年はかなり離れていたはずだ。どうして一緒に研究を？
NPC-Havel(0);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||:リコは類まれな天才よ……//n神経制御や電子還元分野における研究は私より遥かに優れていた。+人形のメンタル形成には様々な分野の知識を組み合わせる必要が//nあったから、90wishに入る前から随分彼には助けられてきた。
