()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>357</BIN><Night>:...Late at night, in the Commander's office. +After sending ST AR-15 and Dandelion away with great difficulty, the Commander makes a call.
()<Speaker>Commander</Speaker><通讯框>||<BGM>m_avg_casual</BGM>:Persica, what do you make of the video that RO sent you earlier today?
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Right, right, right, just a little to the left. No, a bit further up. Yes, that's it, that's it.</color> +<color=#00CCFF>Wait a minute, don't put my bookshelf down like—</color>
()||<SE1>AVG_lifttable</SE1>:Crash—
NPC-Persica(3)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>(Sighs) Moving is such a pain.</color> +<color=#00CCFF>Ahhh, forget it, you guys just pack up for now.</color> +<color=#00CCFF>Commander, with all the Dolls at the base, have you considered opening a home mover's division? All the moving companies on the market are so unreliable...</color>
NPC-Persica(3)<Speaker>Commander</Speaker><通讯框>||:... +Are you STILL moving in?
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Yeah, the space I was assigned at your base was too small for me. Plus, there's all this equipment in my room that's old enough to be my grandfather.</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:But we bought those just two years ago...
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Also, my coffee machine broke. How am I supposed to work like that?</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:... +The Café is just below you, you know. While the staff is probably resting, you can still use the coffee vending machine.
NPC-Persica(1)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Huh? I didn't know you guys provided such services...</color>
()||:Persica vanishes from the transmission window. +A while later, she returns with a cup of coffee, looking very satisfied.
NPC-Persica(2)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>I live again.</color> +<color=#00CCFF>Right, now I can start working.</color>
()||:Persica starts dumping cubes of sugar into the coffee cup.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>I watched the video you had RO send me earlier.</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:I want to hear your thoughts.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>I can't be 100% sure, but I did try to cross-reference it with news records in Berlin over the years and nothing like it has happened before.</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:Which means?
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>At first, I thought it might be some kind of commercial movie or something, but considering the image quality...</color> +<color=#00CCFF>I don't think anyone with that kind of money would be bored enough to make such a film.</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:We did some analysis on our own, and no matter how you look at it, it doesn't look forged.
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Dandelion concluded that Machlian's virtual consciousness is so fragile it can't withstand the strain of a memory fragment transfer.</color> +<color=#00CCFF>So we can only assume that the images are real, they just haven't happened yet.</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:So that terrifying apocalypse will actually come to pass...
NPC-Persica(2)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Well, you might have a chance to stop it, Commander.</color>
NPC-Persica(2)<Speaker>Commander</Speaker><通讯框>||:...
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>Also, I'm quite intrigued by the blank region that 15 said suddenly appeared in Machlian's virtual consciousness.</color> +<color=#00CCFF>Unfortunately, all the data she recorded was useless, and I can't study it further...</color>
NPC-Persica(0)<Speaker>Commander</Speaker><通讯框>||:Care to speculate about it?
NPC-Persica(0)<Speaker>Persica</Speaker><通讯框>||:<color=#00CCFF>I do have some ideas about what might be going on...</color> +<color=#00CCFF>But since this sort of thing has only happened once before, I'm not sure how useful my theories may be.</color> +<color=#00CCFF>Compared to the first two hacking attempts, 15 and Dandelion did it while Machlian was asleep.</color> +<color=#00CCFF>Simply put, it's like how human beings have the lowest control over their conscious minds when they're asleep. </color> +<color=#00CCFF>Considering that Machlian is a new model of Paradeus Nyto, and that her virtual cognition image is similar to that of a human's subconscious, my guess is that her defensive mechanisms are lowered when she's sound asleep, to an extent.</color> +<color=#00CCFF>Hacking her during this time does have a possibility of revealing what is normally hidden.</color>
