()<Speaker>Commander</Speaker>||:Happy White Day, Lewis.
Lewis(13)<Speaker>Lewis</Speaker>||:Commander! You're finally here! +...You're still in your uniform? Sheesh, and here I've put on such a nice outfit. +I made this myself, you know!
Lewis(13)<Speaker>Commander</Speaker><同时置暗>||:Haha, I still have work, after all... You made this? That's amazing. +Here, you've been looking forward to this for quite a while, haven't you? This chocolate is for you.
Lewis(13)<Speaker>Lewis</Speaker>||:You bet! I've been waiting and waiting since I came back last night. +Thank you again, Commander!
()<Speaker></Speaker>||:Lewis accepts the chocolate happily.
()<Speaker>Commander</Speaker>||:You've received a lot of return gifts.
Lewis(13)<Speaker>Lewis</Speaker>||:Heheh... Because I've given chocolate to too many people. +I feel compelled to give chocolate to anyone who looks pretty!
Lewis(13)<Speaker>Commander</Speaker><同时置暗>||:Haha, can you carry them all?
Lewis(13)<Speaker>Lewis</Speaker>||:It's fine! I'm very strong.
()<Speaker></Speaker>||:Lewis flexes her arm, then adds the Commander's chocolate onto her pile.
Lewis(13)<Speaker>Lewis</Speaker>||:Still, your chocolate is special. +I'll cherish it.
Lewis(13)<Speaker>Commander</Speaker><同时置暗>||:Is it? Thank you.
Lewis(13)<Speaker>Lewis</Speaker>||:Happy White Day, Commander!
Lewis(13)<Speaker>Commander</Speaker><同时置暗>||:Yeah, and to you.
()<Speaker></Speaker>||:...
